"","id","Posterior Mean","Posterior Median"
"302",1565,544.971,554.342
"303",1780,676.974,690.103
"304",1952,249.599,259.19
"305",3024,651.258,654.494
"306",3405,869.31,873.109
"307",3657,744.96,764.408
"308",4050,632.809,641.121
"309",4213,858.293,877.411
"310",1125,657.611,655.253
"311",1297,890.132,910.392
"312",1608,658.246,663.662
"313",2211,651.614,659.15
"314",3866,560.875,573.498
"315",4510,942.683,951.98
"316",199,686.18,691.607
"317",294,497.539,493.075
"318",2240,697.928,703.067
"319",2633,752.118,751.493
"320",2906,221.815,225.797
"321",3059,431.443,433.803
"322",3353,707.088,714.193
"323",3471,848.547,851.035
"324",89,626.78,625.993
"325",210,478.504,482.308
"326",532,752.552,758.541
"327",571,1064.416,1071.81
"328",572,1098.452,1109.433
"329",1412,404.151,401.495
"330",3489,924.018,945.433
"331",3491,335.658,337.027
"332",3665,442.423,447.604
"333",3973,984.148,1000.586
"334",880,626.768,623.731
"335",1680,683.426,689.085
"336",1781,670.827,681.642
"337",1898,667.409,673.616
"338",1971,340.73,346.379
"339",2300,930.793,944.794
"340",2336,680.416,695.718
"341",2786,1026.667,1029.707
"342",2845,856.602,862.165
"343",2939,442.473,444.691
"344",3139,613.953,623.978
"345",3606,468.744,474.102
"346",3825,594.726,602.949
"347",3889,542.476,546.95
"348",4219,1028.194,1045.242
"349",4305,567.012,577.83
"350",916,417.296,416.845
"351",1436,284.014,285.506
"352",1564,1076.62,1078.346
"353",3283,509.436,514.632
"354",3494,306.26,300.637
"355",3701,155.027,154.711
"356",204,516.052,518.738
"357",678,874.013,877.675
"358",864,580.057,588.704
"359",1096,502.157,508.425
"360",1221,1127.29,1137.944
"361",1501,707.177,715.027
"362",1922,546.209,559.374
"363",2255,414.648,423.133
"364",4021,336.531,336.737
"365",336,767.621,775.864
"366",969,571.418,572.541
"367",1349,724.001,729.081
"368",1499,553.81,552.318
"369",1913,800.058,811.772
"370",2795,606.674,601.085
"371",3009,576.174,576.662
"372",3095,694.447,697.495
"373",3349,721.524,734.983
"374",4234,1135.977,1135.987
"375",4275,724.358,736.912
"376",4439,477.545,478.031
"377",162,988.217,1004.845
"378",1391,750.113,758.558
"379",1433,651.671,659.764
"380",1948,894.634,895.587
"381",2048,1090.908,1098.685
"382",2132,729.57,738.81
"383",2471,1106.399,1103.392
"384",2686,1043.079,1043.26
"385",3977,572.642,580.771
"386",4239,458.964,463.912
"387",255,658.052,671.087
"388",798,1193.41,1205.826
"389",1301,873.97,899.747
"390",2563,1008.154,1024.337
"391",3143,755.616,765.916
"392",3918,939.039,939.626
"393",1124,513.694,514.789
"394",1585,498.663,504.116
"395",1644,824.381,828.884
"396",1755,600.154,608.411
"397",2641,840.745,844.062
"398",2891,355.848,358.933
"399",3151,787.129,799.405
"400",3301,1237.455,1221.592
"401",3355,841.179,835.979
"402",3876,774.305,792.609
"403",4265,1345.974,1376.885
"404",4298,500.929,508.947
"405",4325,332.057,331.177
"406",4353,478.42,485.309
"407",840,530.248,530.661
"408",1060,567.435,564.99
"409",1583,730.089,735.988
"410",1611,836.674,849.46
"411",2230,652.365,658.133
"412",3010,772.359,784.355
"413",3404,744.349,748.143
"414",3668,561.896,572.307
"415",3978,447.928,454.274
"416",1637,725.079,719.44
"417",2010,1516.66,1534.464
"418",3233,779.137,786.577
"419",3729,640.387,640.94
"420",3972,685.714,691.858
"421",4310,1013.809,1036.488
"422",4349,360.328,372.782
"423",4359,529.755,535.991
"424",620,408.851,416.339
"425",683,1078.229,1095.616
"426",1061,620.937,614.69
"427",1239,890.74,900.084
"428",3424,540.475,543.4
"429",576,643.199,648.521
"430",619,905.459,904.121
"431",1328,990.102,991.395
"432",1357,1086.262,1099.209
"433",3435,718.735,721.057
"434",3777,835.249,844.453
"435",3958,754.857,749.408
"436",258,786.272,790.928
"437",2422,753.021,751.964
"438",2792,631.581,631.842
"439",4317,1575.189,1588.319
"440",4378,665.908,667.13
"441",55,950.179,950.159
"442",457,1734.909,1734.838
"443",1292,660.887,669.298
"444",1575,605.993,611.897
"445",2028,843.805,850.583
"446",2930,622.392,623.397
"447",3474,458.746,463.381
"448",4103,899.797,917.061
"449",1295,858.807,859.366
"450",2843,589.516,598.936
"451",2956,603.328,613.463
"452",3974,475.642,488.045
"453",398,966.297,984.158
"454",1303,490.872,496.711
"455",2098,913.261,929.301
"456",2257,578.668,573.507
"457",2322,808.099,814.917
"458",2544,1007.662,1021.585
"459",3851,577.972,590.175
"460",4191,450.054,444.72
"461",689,865.796,875.113
"462",855,893.943,897.671
"463",1100,472.73,480.791
"464",1841,257.769,265.249
"465",2271,1012.233,1021.941
"466",2338,787.55,802.729
"467",2591,319.709,321.552
"468",3001,654.275,655.854
"469",3039,792.212,782.037
"470",3280,336.627,346.376
"471",236,1120.178,1115.637
"472",500,349.649,342.599
"473",636,1901.548,1909.722
"474",900,1161.881,1158.605
"475",1962,866.967,878.48
"476",2904,1076.972,1086.533
"477",3089,1159.779,1180.225
"478",3202,912.654,920.541
"479",3270,898.798,908.162
"480",3968,603.626,609.646
"481",3970,422.103,419.67
"482",1383,891.065,893.127
"483",2193,781.337,785.739
"484",2221,513.362,515.137
"485",3030,970.092,979.17
"486",3284,1338.016,1345.716
"487",3723,513.557,522.494
"488",3801,326.425,328.766
"489",907,636.192,651.68
"490",1111,798.003,800.788
"491",1837,325.707,324.133
"492",2507,411.268,416.056
"493",2537,848.862,853.491
"494",2876,918.945,920.106
"495",3099,1018.491,1021.741
"496",3531,1072.975,1081.522
"497",4372,1272.505,1297.923
"498",480,481.831,487.814
"499",1533,766.661,762.889
"500",2097,1292.613,1287.144
"501",2456,1093.931,1093.33
"502",2592,1126.377,1150.022
"503",395,627.841,636.703
"504",1458,554.581,554.063
"505",1703,838.169,843.683
"506",1792,868.217,863.037
"507",2279,577.924,585.65
"508",3613,630.354,644.179
"509",3623,624.712,630.965
"510",3795,834.564,828.822
"511",2325,728.916,744.842
"512",2917,664.172,671.109
"513",3682,654.363,658.714
"514",778,289.949,291.991
"515",4270,239.114,235.31
"516",4492,327.692,332.086
"517",496,1440.889,1431.053
"518",677,715.446,713.489
"519",1749,797.184,808.878
"520",2011,1690,1709.519
"521",2029,978.522,997.191
"522",2184,1594.396,1610.082
"523",2832,379.947,380.618
"524",3447,654.067,658.471
"525",2828,731.643,737.271
