"","ID","Degree Names"
"445",217013283,482
"446",217013294,563
"447",217013329,578
"448",217013393,342
"449",217013428,180
"450",217013444,561
"451",217013503,425
"452",217013560,307
"453",217013607,288
"454",217013625,821
"455",217013656,428
"456",217013657,568
"457",217013685,1532
"458",217013706,1525
"459",217013727,522
"460",217013728,332
"461",217013762,452
"462",217013763,727
"463",217013959,338
"464",217013985,415
"465",217014028,312
"466",217014037,568
"467",217014044,581
"468",217014093,231
"469",217014139,315
"470",217014213,363
"471",217014221,492
"472",217014259,625
"473",217014285,262
"474",217014359,614
"475",217014392,610
"476",217014413,591
"477",217014414,700
"478",217014439,620
"479",217014484,1557
"480",217014507,371
"481",217014555,197
"482",217014641,658
"483",217014692,306
"484",217014741,226
"485",217014750,1272
"486",217014759,271
"487",217014767,474
"488",217014813,293
"489",217014859,176
"490",217014878,485
"491",217014940,181
"492",217014965,536
"493",217015013,371
"494",217015031,454
"495",217015117,433
"496",217015232,973
"497",217015234,503
"498",217015252,272
"499",217015259,793
"500",217015283,224
"501",217015290,270
"502",217015337,488
"503",217015344,337
"504",217015457,181
"505",217015466,233
"506",217015493,215
"507",217015558,1479
"508",217015570,521
"509",217015571,792
"510",217015576,672
"511",217015586,707
"512",217015588,473
"513",217015591,327
"514",217015603,569
"515",217015659,555
"516",217015712,215
"517",217015758,164
"518",217015765,833
"519",217015807,771
"520",217015840,333
"521",217015868,434
"522",217015875,706
"523",217015891,656
"524",217015998,281
"525",217016076,397
"526",217016092,1111
"527",217016113,659
"528",217016121,410
"529",217016240,258
"530",217016260,225
"531",217016267,307
"532",217016334,953
"533",217016389,520
"534",217016465,630
"535",217016637,502
"536",217016656,469
"537",217016736,450
"538",217016767,684
"539",217016777,984
"540",217016822,949
"541",217016824,634
"542",217016831,862
"543",217016859,479
"544",217016897,1792
"545",217016916,362
"546",217016927,274
"547",217016929,1078
"548",217016938,239
"549",217016960,310
"550",217017015,293
"551",217017057,463
"552",217017081,322
"553",217017083,363
"554",217017101,740
"555",217017108,457
"556",217017187,277
"557",217017191,211
"558",217017229,268
"559",217017235,534
"560",217017279,953
"561",217017338,396
"562",217017341,425
"563",217017429,283
"564",217017459,1208
"565",217017498,531
"566",217017546,193
"567",217017548,1155
"568",217017554,263
"569",217017577,782
"570",217017586,505
"571",217017601,245
"572",217017610,454
"573",217017617,160
"574",217017710,349
"575",217017718,709
"576",217017720,394
"577",217017733,519
"578",217017769,367
"579",217017770,408
"580",217017801,672
"581",217017805,693
"582",217017808,681
"583",217017813,1062
"584",217017819,468
"585",217017873,315
"586",217017876,518
"587",217017912,824
"588",217017967,329
"589",217017992,403
"590",217018010,337
"591",217018042,336
"592",217018113,452
"593",217018123,1534
"594",217018237,339
"595",217018275,382
"596",217018352,728
"597",217018446,249
"598",217018465,485
"599",217018502,433
"600",217018534,453
"601",217018535,377
"602",217018539,545
"603",217018571,220
"604",217018583,676
"605",217018597,1227
"606",217018644,631
"607",217018644,690
"608",217018683,326
"609",217018701,916
"610",217018762,594
"611",217018868,420
"612",217018893,578
"613",217019019,524
"614",217019037,289
"615",217019076,414
"616",217019132,393
"617",217019135,270
"618",217019183,500
"619",217019193,677
"620",217019194,523
"621",217019200,724
"622",217019217,382
"623",217019220,288
"624",217019220,1376
"625",217019234,238
"626",217019245,530
"627",217019290,726
"628",217019297,612
"629",217019320,474
"630",217019363,797
"631",217019414,715
"632",217019432,306
"633",217019435,664
"634",217019456,179
"635",217019495,381
"636",217019512,680
"637",217019518,196
"638",217019560,266
"639",217019594,401
"640",217019626,504
"641",217019629,843
"642",217019635,353
"643",217019660,359
"644",217019716,352
"645",217019810,289
"646",217019834,2056
"647",217019911,310
"648",217019917,438
"649",217020051,379
"650",217020087,830
"651",217020100,293
"652",217020180,574
"653",217020251,259
"654",217020266,818
"655",217020281,220
"656",217020286,540
"657",217020307,251
"658",217020335,568
"659",217020341,246
"660",217020374,580
"661",217020381,964
"662",217020441,798
"663",217020504,183
"664",217020514,271
"665",217020553,1113
"666",217020573,193
"667",217020587,542
"668",217020654,214
"669",217020679,498
"670",217020794,234
"671",217020823,358
"672",217020828,267
"673",217020879,199
"674",217020888,345
"675",217020956,294
"676",217020965,958
"677",217021003,431
"678",217021012,998
"679",217021027,204
"680",217021031,645
"681",217021034,714
"682",217021047,196
"683",217021078,354
"684",217021093,171
"685",217021133,661
"686",217021195,369
"687",217021246,803
"688",217021329,338
"689",217021349,403
"690",217021422,521
"691",217021430,192
"692",217021431,375
"693",217021494,150
"694",217021524,517
"695",217021529,919
"696",217021536,624
"697",217021541,631
"698",217021571,455
"699",217021579,804
"700",217021652,694
"701",217021659,197
"702",217021687,253
"703",217021700,224
"704",217021704,497
"705",217021770,421
"706",217021812,270
"707",217021820,1360
"708",217021854,719
"709",217021870,433
"710",217021955,289
"711",217021971,368
"712",217022035,269
"713",217022037,302
"714",217022039,199
"715",217022084,857
"716",217022093,653
"717",217022107,1516
"718",217022131,224
"719",217022138,319
"720",217022139,787
